masked_words|abs_decrease_on_replacement
hoping|0.05894323837530711
kick|0.05889246947256481
lock|0.05878385881140844
crappy|0.05865104700522615
dense|0.058629161863517965
backing|0.058617265957969567
england|0.05855528686400021
lol|0.05850645991731801
little|0.05838476800553359
beats|0.05830533122568904
match|0.05823617305900142
morals|0.05809257116279711
corner|0.05804750501732671
fence|0.05803823591593751
u.s|0.05803440246141628
belongs|0.05794129328201878
slants|0.057901223181040004
godfather|0.05776808611261084
pyramids|0.05773253980347461
bumper|0.0577179885492682
argumebt|0.057655565700884384
body|0.05758555879294186
month-|0.057579101035608614
boxes|0.05754638115563067
transvestites|0.057470298546713074
bargaining|0.057157016223115906
solved|0.057116910837613
agriculture|0.057020079141711824
billy|0.056961158897317975
redefining|0.056937021418188384
leftist|0.056911119147215694
beneath|0.056605636962679076
colonel|0.05656197060699182
mommy|0.05655698829351888
educate|0.05650223207894648
poorly|0.056467765736329466
reversed|0.05646171444532785
size|0.05638611930318719
venom|0.05600396044766816
perceived|0.05595053512413896
elites|0.055947146686648644
bern|0.055878123277554426
reasonable|0.05582380468690741
abeting|0.05568229835787557
agencies|0.05564137029698811
black|0.05505955735744876
condones|0.0550250107674054
somebody|0.05501518984568868
smh|0.054991210708953533
arises|0.05490257378436031
high-risk|0.05487170724057235
america-hating|0.054817881078054034
sean|0.05473836894938054
chicken|0.054424383034786014
occupying|0.05435336512826533
thinks|0.05435023611329705
fix|0.05421696096350339
races|0.05413695527437228
bomb|0.054090102144234486
refresher|0.053987106023001365
effect|0.053926641712747546
comment|0.053862432860530496
watched|0.05373077967769683
box|0.05371308143927275
solution|0.053698865831698764
foreign|0.05369456450068325
divine|0.053602216270085525
40k|0.05358456649036475
returns|0.0534961220498815
farm|0.05347374851353033
endorses|0.05329950950151606
performance|0.05329773145762109
window|0.05329593566030229
problem|0.05322602441012771
move|0.0532031881055141
enhancements|0.05317417475896365
translate|0.0530893793845166
mediterranean|0.05276390405428848
becomes|0.05265861949421854
poster|0.052522694622269
unbeknownst|0.05246424108636839
babies|0.05244804833148135
dumbed|0.0524335556676764
correction|0.05212151095429205
supreme|0.052077263063537334
kid|0.05205151412694999
identifying|0.05188372962235295
telesia2|0.05187295223768342
accepted|0.05161666844760838
heavan|0.05161547746329169
evil|0.051570420366413246
suits|0.05137008236464664
insane|0.05132973088162935
sat|0.051309693528539146
bottom|0.051239206911947645
distinguish|0.051192895150371495
ladies|0.05115994939289838
summary|0.05110331362986668
chiefs|0.05105063044405313
sharp|0.05099686628823636
impossible|0.05091547113362804
wearing|0.05088629131850364
destroyed|0.05082978524590602
nothing|0.050620407946124914
lame|0.050611059597236746
lives|0.050596295495169176
eyes|0.05058312877074138
woman|0.050504984947072125
gibberish-|0.05042786568866074
deeming|0.05024005511664089
risk|0.05024005511664089
femme_esq|0.05021752363103269
